method,video_id,frames,segments,gt_lines,pred_lines,cer,precision,recall,f1,substitutions,deletions,insertions,errors,correct,gt_chars,pred_chars
easyocr,7623635835480807921,92,31,21,31,0.5,0.6649746192893401,0.9924242424242424,0.7963525835866261,1,0,65,66,131,132,197
easyocr,7623672029838108314,64,14,8,14,0.5405405405405406,0.6491228070175439,1.0,0.7872340425531915,0,0,20,20,37,37,57
easyocr,7623747299428477864,183,51,26,51,1.2409638554216869,0.42492917847025496,0.9036144578313253,0.5780346820809248,13,3,190,206,150,166,353
easyocr,7624158707772886307,61,50,27,50,1.6101694915254237,0.29922530664945124,0.6546610169491526,0.4107221976074435,380,109,1791,2280,927,1416,3098
easyocr,7624365144738434356,185,32,20,32,0.30578512396694213,0.7658227848101266,1.0,0.8673835125448028,0,0,37,37,121,121,158
easyocr,7624365247414963496,35,12,55,12,0.7933579335793358,1.0,0.2066420664206642,0.3425076452599388,0,215,0,215,56,271,56
easyocr,7624367685719084323,217,64,42,64,0.6846846846846847,0.5940860215053764,0.9954954954954955,0.7441077441077443,0,1,151,152,221,222,372
easyocr,7624633114488433990,109,55,28,55,0.7849162011173184,0.5018181818181818,0.770949720670391,0.6079295154185023,75,7,199,281,276,358,550
easyocr,7624701545757957766,156,96,52,96,1.0636704119850187,0.4648956356736243,0.9176029962546817,0.6171284634760705,20,2,262,284,245,267,527
easyocr,7624835939831155313,82,74,1,74,43.38095238095238,0.01406926406926407,0.6190476190476191,0.027513227513227514,8,0,903,911,13,21,924
easyocr,7624978356999556392,30,3,3,3,0.043478260869565216,1.0,0.9565217391304348,0.9777777777777777,0,1,0,1,22,23,22
easyocr,7625060323589901610,21,8,8,8,0.0,1.0,1.0,1.0,0,0,0,0,82,82,82
easyocr,7625248139076178405,121,58,24,58,1.9315068493150684,0.2631578947368421,0.684931506849315,0.38022813688212925,44,2,236,282,100,146,380
easyocr,7625253704698556297,21,3,3,3,0.09090909090909091,1.0,0.9090909090909091,0.9523809523809523,0,2,0,2,20,22,20
easyocr,7625261726909372089,95,43,34,43,0.35172413793103446,0.76,0.9172413793103448,0.8312499999999999,3,9,39,51,133,145,175
easyocr,7625472985927237489,77,5,6,5,0.5714285714285714,0.65625,0.75,0.7,2,5,9,16,21,28,32
easyocr,7625525065970724069,148,39,40,39,0.008968609865470852,1.0,0.9910313901345291,0.9954954954954954,0,2,0,2,221,223,221
easyocr,7625577755723809649,216,56,32,56,0.7344398340248963,0.5597014925373134,0.9336099585062241,0.6998444790046656,16,0,161,177,225,241,402
easyocr,7625596895951342883,160,70,44,70,0.8166666666666667,0.5483870967741935,0.9916666666666667,0.7062314540059347,2,0,194,196,238,240,434
easyocr,7625596926242589992,188,77,62,77,0.45897435897435895,0.6825688073394496,0.9538461538461539,0.79572192513369,12,6,161,179,372,390,545
easyocr,7625645779021057343,87,33,17,33,1.2222222222222223,0.4260869565217391,0.9074074074074074,0.5798816568047337,10,0,122,132,98,108,230
easyocr,7625859506869685510,164,18,22,18,0.864406779661017,0.3277310924369748,0.3305084745762712,0.32911392405063294,57,22,23,102,39,118,119
easyocr,7625859643503381779,221,85,69,85,0.31151832460732987,0.7607361963190185,0.9738219895287958,0.8541905855338692,8,2,109,119,372,382,489
easyocr,7625881216968920371,115,35,18,35,1.2327586206896552,0.42338709677419356,0.9051724137931034,0.576923076923077,11,0,132,143,105,116,248
easyocr,7625961573442537642,95,26,22,26,0.26515151515151514,0.7901234567901234,0.9696969696969697,0.8707482993197279,3,1,31,35,128,132,162
