method,video_id,frames,segments,gt_lines,pred_lines,cer,precision,recall,f1,substitutions,deletions,insertions,errors,correct,gt_chars,pred_chars
glm_ocr,7623635835480807921,92,9,21,9,0.5303030303030303,0.8857142857142857,0.4696969696969697,0.6138613861386139,8,62,0,70,62,132,70
glm_ocr,7623672029838108314,61,6,8,6,0.40540540540540543,0.84375,0.7297297297297297,0.7826086956521738,0,10,5,15,27,37,32
glm_ocr,7623747299428477864,183,27,26,27,0.45180722891566266,0.7009345794392523,0.9036144578313253,0.7894736842105263,5,11,59,75,150,166,214
glm_ocr,7624158707772886307,60,34,27,34,4.7358757062146895,0.09829118250170882,0.507768361581921,0.16470049249799562,587,110,6009,6706,719,1416,7315
glm_ocr,7624365144738434356,185,22,20,22,0.19008264462809918,0.8592592592592593,0.9586776859504132,0.9062500000000001,1,4,18,23,116,121,135
glm_ocr,7624365247414963496,35,11,55,11,0.8007380073800738,1.0,0.1992619926199262,0.3323076923076923,0,217,0,217,54,271,54
glm_ocr,7624367685719084323,208,40,42,40,0.22972972972972974,0.85,0.918918918918919,0.8831168831168831,3,15,33,51,204,222,240
glm_ocr,7624633114488433990,109,40,28,40,0.4022346368715084,0.729490022172949,0.9189944134078212,0.8133498145859085,7,22,115,144,329,358,451
glm_ocr,7624701545757957766,155,41,52,41,0.15730337078651685,0.966804979253112,0.8726591760299626,0.9173228346456692,0,34,8,42,233,267,241
glm_ocr,7624835939831155313,82,13,1,13,8.142857142857142,0.109375,1.0,0.19718309859154928,0,0,171,171,21,21,192
glm_ocr,7624978356999556392,29,3,3,3,0.0,1.0,1.0,1.0,0,0,0,0,23,23,23
glm_ocr,7625060323589901610,20,7,8,7,0.024390243902439025,1.0,0.975609756097561,0.9876543209876543,0,2,0,2,80,82,80
glm_ocr,7625248139076178405,120,25,24,25,0.3424657534246575,0.7584269662921348,0.9246575342465754,0.8333333333333334,4,7,39,50,135,146,178
glm_ocr,7625253704698556297,20,2,3,2,0.18181818181818182,0.9473684210526315,0.8181818181818182,0.8780487804878049,1,3,0,4,18,22,19
glm_ocr,7625261726909372089,94,17,34,17,0.38620689655172413,0.9468085106382979,0.6137931034482759,0.7447698744769874,5,51,0,56,89,145,94
glm_ocr,7625472985927237489,77,1,6,1,0.75,0.8,0.2857142857142857,0.4210526315789473,1,19,1,21,8,28,10
glm_ocr,7625525065970724069,148,34,40,34,0.05829596412556054,1.0,0.9417040358744395,0.9699769053117783,0,13,0,13,210,223,210
glm_ocr,7625577755723809649,216,33,32,33,0.07053941908713693,0.9552845528455285,0.975103734439834,0.9650924024640658,0,6,11,17,235,241,246
glm_ocr,7625596895951342883,159,42,44,42,0.03333333333333333,0.9914893617021276,0.9708333333333333,0.9810526315789473,1,6,1,8,233,240,235
glm_ocr,7625596926242589992,187,65,62,65,0.31794871794871793,0.769857433808554,0.9692307692307692,0.8581157775255391,1,11,112,124,378,390,491
glm_ocr,7625645779021057343,86,15,17,15,0.12962962962962962,1.0,0.8703703703703703,0.9306930693069307,0,14,0,14,94,108,94
glm_ocr,7625859506869685510,36,10,22,10,0.6949152542372882,0.8461538461538461,0.3728813559322034,0.5176470588235295,0,74,8,82,44,118,52
glm_ocr,7625859643503381779,220,61,69,61,0.0549738219895288,0.9972375690607734,0.9450261780104712,0.9704301075268817,1,20,0,21,361,382,362
glm_ocr,7625881216968920371,115,14,18,14,0.10344827586206896,0.9811320754716981,0.896551724137931,0.9369369369369369,2,10,0,12,104,116,106
glm_ocr,7625961573442537642,94,7,22,7,0.5909090909090909,1.0,0.4090909090909091,0.5806451612903226,0,78,0,78,54,132,54
