method,video_id,frames,segments,gt_lines,pred_lines,cer,precision,recall,f1,substitutions,deletions,insertions,errors,correct,gt_chars,pred_chars
gomatching_pp,7623635835480807921,92,19,21,19,0.022727272727272728,1.0,0.9772727272727273,0.9885057471264368,0,3,0,3,129,132,129
gomatching_pp,7623672029838108314,62,9,8,9,0.24324324324324326,0.8043478260869565,1.0,0.891566265060241,0,0,9,9,37,37,46
gomatching_pp,7623747299428477864,183,29,26,29,0.2289156626506024,0.8229166666666666,0.9518072289156626,0.88268156424581,4,4,30,38,158,166,192
gomatching_pp,7624158707772886307,61,36,27,36,0.7048022598870056,0.4524590163934426,0.3898305084745763,0.41881638846737484,534,330,134,998,552,1416,1220
gomatching_pp,7624365144738434356,185,18,20,18,0.14049586776859505,0.9629629629629629,0.859504132231405,0.908296943231441,4,13,0,17,104,121,108
gomatching_pp,7624365247414963496,35,12,55,12,0.7933579335793358,1.0,0.2066420664206642,0.3425076452599388,0,215,0,215,56,271,56
gomatching_pp,7624367685719084323,209,45,42,45,0.1981981981981982,0.8455284552845529,0.9369369369369369,0.888888888888889,8,6,30,44,208,222,246
gomatching_pp,7624633114488433990,109,36,28,36,0.20949720670391062,0.8282828282828283,0.9162011173184358,0.870026525198939,23,7,45,75,328,358,396
gomatching_pp,7624701545757957766,156,58,52,58,0.24344569288389514,0.8063492063492064,0.951310861423221,0.8728522336769761,9,4,52,65,254,267,315
gomatching_pp,7624835939831155313,82,7,1,7,6.0476190476190474,0.1360544217687075,0.9523809523809523,0.23809523809523814,1,0,126,127,20,21,147
gomatching_pp,7624978356999556392,30,3,3,3,0.0,1.0,1.0,1.0,0,0,0,0,23,23,23
gomatching_pp,7625060323589901610,21,6,8,6,0.5609756097560976,1.0,0.43902439024390244,0.6101694915254238,0,46,0,46,36,82,36
gomatching_pp,7625248139076178405,121,25,24,25,0.4657534246575342,0.6721311475409836,0.8424657534246576,0.7477203647416413,15,8,45,68,123,146,183
gomatching_pp,7625253704698556297,21,0,3,0,1.0,0.0,0.0,0.0,0,22,0,22,0,22,0
gomatching_pp,7625261726909372089,95,34,34,34,0.3793103448275862,0.7444444444444445,0.9241379310344827,0.8246153846153845,2,9,44,55,134,145,180
gomatching_pp,7625472985927237489,77,54,6,54,34.142857142857146,0.010351966873706004,0.35714285714285715,0.02012072434607646,18,0,938,956,10,28,966
gomatching_pp,7625525065970724069,148,35,40,35,0.08968609865470852,0.9950980392156863,0.9103139013452914,0.9508196721311475,1,19,0,20,203,223,204
gomatching_pp,7625577755723809649,216,36,32,36,0.1037344398340249,0.9019607843137255,0.9543568464730291,0.9274193548387097,11,0,14,25,230,241,255
gomatching_pp,7625596895951342883,160,41,44,41,0.05416666666666667,0.9956331877729258,0.95,0.9722814498933903,0,12,1,13,228,240,229
gomatching_pp,7625596926242589992,188,63,62,63,0.1358974358974359,0.9590163934426229,0.9,0.9285714285714285,1,38,14,53,351,390,366
gomatching_pp,7625645779021057343,87,15,17,15,0.4166666666666667,0.7938144329896907,0.7129629629629629,0.751219512195122,6,25,14,45,77,108,97
gomatching_pp,7625859506869685510,37,9,22,9,0.6864406779661016,0.8409090909090909,0.3135593220338983,0.4567901234567901,7,74,0,81,37,118,44
gomatching_pp,7625859643503381779,221,67,69,67,0.02617801047120419,0.9946524064171123,0.9738219895287958,0.9841269841269842,2,8,0,10,372,382,374
gomatching_pp,7625881216968920371,115,16,18,16,0.16379310344827586,0.9509803921568627,0.8362068965517241,0.8899082568807339,5,14,0,19,97,116,102
gomatching_pp,7625961573442537642,95,25,22,25,0.2878787878787879,0.7839506172839507,0.9621212121212122,0.8639455782312925,2,3,33,38,127,132,162
