method,video_id,frames,segments,gt_lines,pred_lines,cer,precision,recall,f1,substitutions,deletions,insertions,errors,correct,gt_chars,pred_chars
mmocr_engineering_panet_sar_cn,7623635835480807921,92,47,21,47,15.93939393939394,0.04666968735840508,0.7803030303030303,0.08807182556648141,29,0,2075,2104,103,132,2207
mmocr_engineering_panet_sar_cn,7623672029838108314,62,23,8,23,32.13513513513514,0.023809523809523808,0.7837837837837838,0.046215139442231074,8,0,1181,1189,29,37,1218
mmocr_engineering_panet_sar_cn,7623747299428477864,183,80,26,80,22.27710843373494,0.03143006809848088,0.7228915662650602,0.060240963855421686,46,0,3652,3698,120,166,3818
mmocr_engineering_panet_sar_cn,7624158707772886307,61,61,27,61,13.081214689265536,0.04075608493008804,0.5557909604519774,0.07594325967383962,629,0,17894,18523,787,1416,19310
mmocr_engineering_panet_sar_cn,7624365144738434356,185,58,20,58,27.59504132231405,0.026814339842611484,0.7603305785123967,0.0518018018018018,29,0,3310,3339,92,121,3431
mmocr_engineering_panet_sar_cn,7624365247414963496,35,25,55,25,5.280442804428044,0.032454361054766734,0.17712177121771217,0.054857142857142854,223,0,1208,1431,48,271,1479
mmocr_engineering_panet_sar_cn,7624367685719084323,209,106,42,106,32.734234234234236,0.024039752887456352,0.8063063063063063,0.046687532603025564,43,0,7224,7267,179,222,7446
mmocr_engineering_panet_sar_cn,7624633114488433990,109,109,28,109,33.53072625698324,0.021359856513940977,0.7318435754189944,0.04150823827629912,96,0,11908,12004,262,358,12266
mmocr_engineering_panet_sar_cn,7624701545757957766,156,105,52,105,22.84269662921348,0.02804780876494024,0.6591760299625468,0.053806175481504126,91,0,6008,6099,176,267,6275
mmocr_engineering_panet_sar_cn,7624835939831155313,82,39,1,39,50.666666666666664,0.008387698042870456,0.42857142857142855,0.016453382084095063,12,0,1052,1064,9,21,1073
mmocr_engineering_panet_sar_cn,7624978356999556392,30,8,3,8,17.47826086956522,0.04513064133016627,0.8260869565217391,0.08558558558558559,4,0,398,402,19,23,421
mmocr_engineering_panet_sar_cn,7625060323589901610,21,19,8,19,25.951219512195124,0.02564102564102564,0.6829268292682927,0.049426301853486315,26,0,2102,2128,56,82,2184
mmocr_engineering_panet_sar_cn,7625248139076178405,121,66,24,66,19.993150684931507,0.04106438896189225,0.8561643835616438,0.07836990595611285,21,0,2898,2919,125,146,3044
mmocr_engineering_panet_sar_cn,7625253704698556297,21,7,3,7,19.681818181818183,0.0420353982300885,0.8636363636363636,0.08016877637130802,3,0,430,433,19,22,452
mmocr_engineering_panet_sar_cn,7625261726909372089,95,57,34,57,14.744827586206897,0.050621669626998225,0.7862068965517242,0.0951188986232791,31,0,2107,2138,114,145,2252
mmocr_engineering_panet_sar_cn,7625472985927237489,77,7,6,7,8.607142857142858,0.0694980694980695,0.6428571428571429,0.1254355400696864,10,0,231,241,18,28,259
mmocr_engineering_panet_sar_cn,7625525065970724069,148,71,40,71,12.869955156950672,0.06545099316183653,0.9013452914798207,0.12204007285974498,22,0,2848,2870,201,223,3071
mmocr_engineering_panet_sar_cn,7625577755723809649,216,113,32,113,30.398340248962654,0.02124248496993988,0.6597510373443983,0.04115972042454052,82,0,7244,7326,159,241,7485
mmocr_engineering_panet_sar_cn,7625596895951342883,160,101,44,101,27.283333333333335,0.02443384982121573,0.6833333333333333,0.04718066743383199,76,0,6472,6548,164,240,6712
mmocr_engineering_panet_sar_cn,7625596926242589992,188,137,62,137,21.843589743589742,0.029395009684402416,0.6615384615384615,0.056288862223191884,132,0,8387,8519,258,390,8777
mmocr_engineering_panet_sar_cn,7625645779021057343,87,51,17,51,17.953703703703702,0.04670599803343166,0.8796296296296297,0.08870214752567694,13,0,1926,1939,95,108,2034
mmocr_engineering_panet_sar_cn,7625859506869685510,37,19,22,19,7.88135593220339,0.0189873417721519,0.15254237288135594,0.03377110694183866,100,0,830,930,18,118,948
mmocr_engineering_panet_sar_cn,7625859643503381779,221,156,69,156,23.2565445026178,0.030554343081623744,0.7329842931937173,0.05866331447726796,102,0,8782,8884,280,382,9164
mmocr_engineering_panet_sar_cn,7625881216968920371,115,45,18,45,27.70689655172414,0.03046757164404223,0.8706896551724138,0.058874963567473036,15,0,3199,3214,101,116,3315
mmocr_engineering_panet_sar_cn,7625961573442537642,95,65,22,65,17.613636363636363,0.0471311475409836,0.8712121212121212,0.08942457231726283,17,0,2308,2325,115,132,2440
