method,video_id,frames,segments,gt_lines,pred_lines,cer,precision,recall,f1,substitutions,deletions,insertions,errors,correct,gt_chars,pred_chars
mmocr_quality_dbpp_sar_cn,7623635835480807921,92,52,21,52,23.416666666666668,0.02737570799244808,0.6590909090909091,0.05256797583081571,45,0,3046,3091,87,132,3178
mmocr_quality_dbpp_sar_cn,7623672029838108314,62,23,8,23,45.729729729729726,0.017421602787456445,0.8108108108108109,0.03411028993746447,7,0,1685,1692,30,37,1722
mmocr_quality_dbpp_sar_cn,7623747299428477864,183,92,26,92,39.62048192771084,0.01791847095714499,0.7228915662650602,0.03497012968089757,46,0,6531,6577,120,166,6697
mmocr_quality_dbpp_sar_cn,7624158707772886307,61,59,27,59,13.86864406779661,0.02950333580429948,0.4216101694915254,0.05514756824165165,819,0,18819,19638,597,1416,20235
mmocr_quality_dbpp_sar_cn,7624365144738434356,185,62,20,62,29.702479338842974,0.02469470827679783,0.7520661157024794,0.047819232790331054,30,0,3564,3594,91,121,3685
mmocr_quality_dbpp_sar_cn,7624365247414963496,35,25,55,25,4.453874538745388,0.037480063795853266,0.17343173431734318,0.06163934426229509,224,0,983,1207,47,271,1254
mmocr_quality_dbpp_sar_cn,7624367685719084323,209,108,42,108,34.630630630630634,0.021634003563247645,0.7657657657657657,0.04207920792079208,52,0,7636,7688,170,222,7858
mmocr_quality_dbpp_sar_cn,7624633114488433990,109,107,28,107,29.31564245810056,0.025986078886310906,0.7821229050279329,0.050300907212790805,78,0,10417,10495,280,358,10775
mmocr_quality_dbpp_sar_cn,7624701545757957766,156,107,52,107,27.082397003745317,0.016324309617739084,0.449438202247191,0.03150433184562878,147,0,7084,7231,120,267,7351
mmocr_quality_dbpp_sar_cn,7624835939831155313,82,71,1,71,160.47619047619048,0.002368265245707519,0.38095238095238093,0.004707266843189173,13,0,3357,3370,8,21,3378
mmocr_quality_dbpp_sar_cn,7624978356999556392,30,12,3,12,30.782608695652176,0.024793388429752067,0.782608695652174,0.048064085447263025,5,0,703,708,18,23,726
mmocr_quality_dbpp_sar_cn,7625060323589901610,21,18,8,18,30.048780487804876,0.026856240126382307,0.8292682926829268,0.05202754399387911,14,0,2450,2464,68,82,2532
mmocr_quality_dbpp_sar_cn,7625248139076178405,121,60,24,60,33.93835616438356,0.02441425477456192,0.8493150684931506,0.04746411483253588,22,0,4933,4955,124,146,5079
mmocr_quality_dbpp_sar_cn,7625253704698556297,21,10,3,10,27.227272727272727,0.029173419773095625,0.8181818181818182,0.056338028169014086,4,0,595,599,18,22,617
mmocr_quality_dbpp_sar_cn,7625261726909372089,95,66,34,66,24.75862068965517,0.032084119708816396,0.8206896551724138,0.061754021795537115,26,0,3564,3590,119,145,3709
mmocr_quality_dbpp_sar_cn,7625472985927237489,77,66,6,66,70.17857142857143,0.007575757575757576,0.5357142857142857,0.0149402390438247,13,0,1952,1965,15,28,1980
mmocr_quality_dbpp_sar_cn,7625525065970724069,148,84,40,84,28.84304932735426,0.0283987915407855,0.8430493273542601,0.05494666082127722,35,0,6397,6432,188,223,6620
mmocr_quality_dbpp_sar_cn,7625577755723809649,216,113,32,113,38.79253112033195,0.01340227944280287,0.5269709543568465,0.026139755068436757,114,0,9235,9349,127,241,9476
mmocr_quality_dbpp_sar_cn,7625596895951342883,160,113,44,113,35.07083333333333,0.01876894380974586,0.6708333333333333,0.03651621682921297,79,0,8338,8417,161,240,8578
mmocr_quality_dbpp_sar_cn,7625596926242589992,188,134,62,134,23.894871794871793,0.0274472970152369,0.6743589743589744,0.05274769354191737,127,0,9192,9319,263,390,9582
mmocr_quality_dbpp_sar_cn,7625645779021057343,87,57,17,57,25.305555555555557,0.029129662522202487,0.7592592592592593,0.05610673965104345,26,0,2707,2733,82,108,2815
mmocr_quality_dbpp_sar_cn,7625859506869685510,37,22,22,22,12.44915254237288,0.019359145527369826,0.2457627118644068,0.03589108910891089,89,0,1380,1469,29,118,1498
mmocr_quality_dbpp_sar_cn,7625859643503381779,221,152,69,152,29.170157068062828,0.022543859649122807,0.6727748691099477,0.04362586997114243,125,0,11018,11143,257,382,11400
mmocr_quality_dbpp_sar_cn,7625881216968920371,115,50,18,50,32.422413793103445,0.023877498053464834,0.7931034482758621,0.04635928445452255,24,0,3737,3761,92,116,3853
mmocr_quality_dbpp_sar_cn,7625961573442537642,95,79,22,79,40.878787878787875,0.02193220953416712,0.9166666666666666,0.04283944060895734,11,0,5385,5396,121,132,5517
