method,video_id,frames,segments,gt_lines,pred_lines,cer,precision,recall,f1,substitutions,deletions,insertions,errors,correct,gt_chars,pred_chars
paddle_vl15,7623635835480807921,92,40,21,40,0.7272727272727273,0.5608465608465608,0.803030303030303,0.660436137071651,13,13,70,96,106,132,189
paddle_vl15,7623672029838108314,62,29,8,29,0.9459459459459459,0.5138888888888888,1.0,0.6788990825688073,0,0,35,35,37,37,72
paddle_vl15,7623747299428477864,183,87,26,87,1.3674698795180722,0.4190231362467866,0.9819277108433735,0.5873873873873873,2,1,224,227,163,166,389
paddle_vl15,7624158707772886307,61,40,27,40,1.4159604519774012,0.4010299324106856,0.8799435028248588,0.550961751050188,26,144,1835,2005,1246,1416,3107
paddle_vl15,7624365144738434356,185,48,20,48,0.8099173553719008,0.5525114155251142,1.0,0.711764705882353,0,0,98,98,121,121,219
paddle_vl15,7624365247414963496,180,18,55,18,0.8560885608856088,0.7671232876712328,0.2066420664206642,0.3255813953488372,0,215,17,232,56,271,73
paddle_vl15,7624367685719084323,209,103,42,103,1.1846846846846846,0.45643153526970953,0.990990990990991,0.625,1,1,261,263,220,222,482
paddle_vl15,7624633114488433990,109,60,28,60,0.9162011173184358,0.4522417153996101,0.6480446927374302,0.5327210103329506,79,47,202,328,232,358,513
paddle_vl15,7624701545757957766,156,65,52,65,0.18352059925093633,0.8449367088607594,1.0,0.915951972555746,0,0,49,49,267,267,316
paddle_vl15,7624835939831155313,82,66,1,66,34.285714285714285,0.02834008097165992,1.0,0.05511811023622048,0,0,720,720,21,21,741
paddle_vl15,7624978356999556392,30,11,3,11,0.6521739130434783,0.6052631578947368,1.0,0.7540983606557378,0,0,15,15,23,23,38
paddle_vl15,7625060323589901610,21,11,8,11,0.17073170731707318,0.8541666666666666,1.0,0.9213483146067416,0,0,14,14,82,82,96
paddle_vl15,7625248139076178405,121,60,24,60,1.5753424657534247,0.38666666666666666,0.9931506849315068,0.5566218809980806,1,0,229,230,145,146,375
paddle_vl15,7625253704698556297,21,3,3,3,0.13636363636363635,1.0,0.8636363636363636,0.9268292682926829,0,3,0,3,19,22,19
paddle_vl15,7625261726909372089,95,43,34,43,0.7586206896551724,0.5677966101694916,0.9241379310344827,0.7034120734908137,3,8,99,110,134,145,236
paddle_vl15,7625472985927237489,77,41,6,41,3.642857142857143,0.19047619047619047,0.8571428571428571,0.31168831168831174,4,0,98,102,24,28,126
paddle_vl15,7625525065970724069,148,53,40,53,0.13004484304932734,0.888,0.9955156950672646,0.9386892177589852,0,1,28,29,222,223,250
paddle_vl15,7625577755723809649,216,81,32,81,0.9004149377593361,0.5251641137855579,0.995850622406639,0.6876790830945558,1,0,216,217,240,241,457
paddle_vl15,7625596895951342883,160,86,44,86,1.6458333333333333,0.3779527559055118,1.0,0.5485714285714286,0,0,395,395,240,240,635
paddle_vl15,7625596926242589992,188,111,62,111,0.9230769230769231,0.5180722891566265,0.9923076923076923,0.6807387862796834,3,0,357,360,387,390,747
paddle_vl15,7625645779021057343,87,38,17,38,0.8333333333333334,0.5300546448087432,0.8981481481481481,0.6666666666666666,7,4,79,90,97,108,183
paddle_vl15,7625859506869685510,164,23,22,23,0.7966101694915254,0.41904761904761906,0.3728813559322034,0.3946188340807175,41,33,20,94,44,118,105
paddle_vl15,7625859643503381779,221,102,69,102,0.3507853403141361,0.7411764705882353,0.9895287958115183,0.8475336322869955,2,2,130,134,378,382,510
paddle_vl15,7625881216968920371,115,41,18,41,0.4396551724137931,0.6946107784431138,1.0,0.8197879858657243,0,0,51,51,116,116,167
paddle_vl15,7625961573442537642,95,38,22,38,0.7424242424242424,0.5720524017467249,0.9924242424242424,0.7257617728531857,1,0,97,98,131,132,229
