method,video_id,frames,segments,gt_lines,pred_lines,cer,precision,recall,f1,substitutions,deletions,insertions,errors,correct,gt_chars,pred_chars
ppocr_v5,7623635835480807921,92,30,21,30,0.18181818181818182,0.8461538461538461,1.0,0.9166666666666666,0,0,24,24,132,132,156
ppocr_v5,7623672029838108314,62,26,8,26,0.7837837837837838,0.5606060606060606,1.0,0.7184466019417475,0,0,29,29,37,37,66
ppocr_v5,7623747299428477864,183,75,26,75,1.2710843373493976,0.4358288770053476,0.9819277108433735,0.6037037037037037,3,0,208,211,163,166,374
ppocr_v5,7624158707772886307,61,40,27,40,1.5755649717514124,0.36374770361298225,0.8389830508474576,0.5074754378470739,75,153,2003,2231,1188,1416,3266
ppocr_v5,7624365144738434356,185,40,20,40,0.6859504132231405,0.5931372549019608,1.0,0.7446153846153846,0,0,83,83,121,121,204
ppocr_v5,7624365247414963496,180,16,55,16,0.8487084870848709,0.6351351351351351,0.17343173431734318,0.27246376811594203,21,203,6,230,47,271,74
ppocr_v5,7624367685719084323,209,104,42,104,1.2972972972972974,0.43418467583497056,0.9954954954954955,0.6046511627906976,1,0,287,288,221,222,509
ppocr_v5,7624633114488433990,109,46,28,46,0.5195530726256983,0.6496212121212122,0.9581005586592178,0.7742663656884876,14,1,171,186,343,358,528
ppocr_v5,7624701545757957766,156,61,52,61,0.16853932584269662,0.8557692307692307,1.0,0.9222797927461139,0,0,45,45,267,267,312
ppocr_v5,7624835939831155313,82,3,1,3,2.4761904761904763,0.2777777777777778,0.9523809523809523,0.4301075268817204,1,0,51,52,20,21,72
ppocr_v5,7624978356999556392,30,12,3,12,0.8695652173913043,0.5348837209302325,1.0,0.6969696969696969,0,0,20,20,23,23,43
ppocr_v5,7625060323589901610,21,8,8,8,0.036585365853658534,0.9647058823529412,1.0,0.9820359281437125,0,0,3,3,82,82,85
ppocr_v5,7625248139076178405,121,54,24,54,1.1917808219178083,0.4528301886792453,0.9863013698630136,0.6206896551724138,2,0,172,174,144,146,318
ppocr_v5,7625253704698556297,21,3,3,3,0.045454545454545456,1.0,0.9545454545454546,0.9767441860465117,0,1,0,1,21,22,21
ppocr_v5,7625261726909372089,95,40,34,40,0.6758620689655173,0.5955555555555555,0.9241379310344827,0.7243243243243243,4,7,87,98,134,145,225
ppocr_v5,7625472985927237489,77,48,6,48,31.178571428571427,0.03,0.9642857142857143,0.05818965517241379,1,0,872,873,27,28,900
ppocr_v5,7625525065970724069,148,60,40,60,0.16591928251121077,0.8604651162790697,0.9955156950672646,0.9230769230769231,0,1,36,37,222,223,258
ppocr_v5,7625577755723809649,216,71,32,71,0.5560165975103735,0.6426666666666667,1.0,0.7824675324675325,0,0,134,134,241,241,375
ppocr_v5,7625596895951342883,160,88,44,88,2.1791666666666667,0.3145478374836173,1.0,0.47856430707876374,0,0,523,523,240,240,763
ppocr_v5,7625596926242589992,188,88,62,88,0.6487179487179487,0.6053042121684867,0.9948717948717949,0.7526673132880698,2,0,251,253,388,390,641
ppocr_v5,7625645779021057343,87,28,17,28,0.37962962962962965,0.7172413793103448,0.9629629629629629,0.8221343873517786,4,0,37,41,104,108,145
ppocr_v5,7625859506869685510,164,20,22,20,0.9576271186440678,0.2913907284768212,0.3728813559322034,0.3271375464684015,68,6,39,113,44,118,151
ppocr_v5,7625859643503381779,221,94,69,94,0.18324607329842932,0.8444444444444444,0.9947643979057592,0.9134615384615385,2,0,68,70,380,382,450
ppocr_v5,7625881216968920371,115,32,18,32,0.2672413793103448,0.7891156462585034,1.0,0.8821292775665399,0,0,31,31,116,116,147
ppocr_v5,7625961573442537642,95,38,22,38,0.8106060606060606,0.5504201680672269,0.9924242424242424,0.7081081081081081,1,0,106,107,131,132,238
