method,video_id,frames,segments,gt_lines,pred_lines,cer,precision,recall,f1,substitutions,deletions,insertions,errors,correct,gt_chars,pred_chars
rapidocr,7623635835480807921,92,26,21,26,0.09848484848484848,0.9103448275862069,1.0,0.9530685920577617,0,0,13,13,132,132,145
rapidocr,7623672029838108314,61,13,8,13,0.2972972972972973,0.7708333333333334,1.0,0.8705882352941177,0,0,11,11,37,37,48
rapidocr,7623747299428477864,183,47,26,47,0.37349397590361444,0.7227272727272728,0.9578313253012049,0.8238341968911918,6,1,55,62,159,166,220
rapidocr,7624158707772886307,60,37,27,37,1.7231638418079096,0.3291284403669725,0.8107344632768362,0.46818923327895595,168,100,2172,2440,1148,1416,3488
rapidocr,7624365144738434356,185,36,20,36,0.5702479338842975,0.6349206349206349,0.9917355371900827,0.7741935483870968,1,0,68,69,120,121,189
rapidocr,7624365247414963496,35,15,55,15,0.7970479704797048,0.9661016949152542,0.21033210332103322,0.3454545454545455,0,214,2,216,57,271,59
rapidocr,7624367685719084323,208,68,42,68,0.5630630630630631,0.638728323699422,0.9954954954954955,0.7781690140845071,1,0,124,125,221,222,346
rapidocr,7624633114488433990,109,32,28,32,0.1424581005586592,0.8962765957446809,0.9413407821229051,0.9182561307901907,9,12,30,51,337,358,376
rapidocr,7624701545757957766,155,58,52,58,0.09737827715355805,0.916955017301038,0.9925093632958801,0.9532374100719424,0,2,24,26,265,267,289
rapidocr,7624835939831155313,82,10,1,10,7.714285714285714,0.10989010989010989,0.9523809523809523,0.19704433497536944,1,0,161,162,20,21,182
rapidocr,7624978356999556392,29,6,3,6,0.17391304347826086,0.8518518518518519,1.0,0.92,0,0,4,4,23,23,27
rapidocr,7625060323589901610,20,8,8,8,0.036585365853658534,0.9634146341463414,0.9634146341463414,0.9634146341463414,3,0,0,3,79,82,82
rapidocr,7625248139076178405,120,29,24,29,0.3561643835616438,0.7373737373737373,1.0,0.8488372093023255,0,0,52,52,146,146,198
rapidocr,7625253704698556297,20,7,3,7,0.5909090909090909,0.6363636363636364,0.9545454545454546,0.7636363636363637,0,1,12,13,21,22,33
rapidocr,7625261726909372089,94,40,34,40,0.2689655172413793,0.7869822485207101,0.9172413793103448,0.8471337579617834,9,3,27,39,133,145,169
rapidocr,7625472985927237489,77,10,6,10,0.4642857142857143,0.6285714285714286,0.7857142857142857,0.6984126984126985,6,0,7,13,22,28,35
rapidocr,7625525065970724069,148,45,40,45,0.03587443946188341,0.973568281938326,0.9910313901345291,0.9822222222222222,0,2,6,8,221,223,227
rapidocr,7625577755723809649,216,52,32,52,0.21161825726141079,0.8253424657534246,1.0,0.9043151969981238,0,0,51,51,241,241,292
rapidocr,7625596895951342883,159,62,44,62,1.6208333333333333,0.3815580286168522,1.0,0.5523590333716917,0,0,389,389,240,240,629
rapidocr,7625596926242589992,187,78,62,78,0.5948717948717949,0.6264090177133655,0.9974358974358974,0.7695351137487635,1,0,231,232,389,390,621
rapidocr,7625645779021057343,86,24,17,24,0.3055555555555556,0.7786259541984732,0.9444444444444444,0.8535564853556485,2,4,27,33,102,108,131
rapidocr,7625859506869685510,36,15,22,15,0.7542372881355932,0.42718446601941745,0.3728813559322034,0.3981900452488688,44,30,15,89,44,118,103
rapidocr,7625859643503381779,220,76,69,76,0.02356020942408377,0.9769230769230769,0.9973821989528796,0.9870466321243524,1,0,8,9,381,382,390
rapidocr,7625881216968920371,115,28,18,28,0.29310344827586204,0.7785714285714286,0.9396551724137931,0.8515625000000001,4,3,27,34,109,116,140
rapidocr,7625961573442537642,94,38,22,38,0.8106060606060606,0.5523012552301255,1.0,0.711590296495957,0,0,107,107,132,132,239
